epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.886,1.79044,3.14632,1.85687,0.38121,0.15534,0.17971,0.07496,2.0723,2.87346,2.15321,0.000329114,0.000329114,0.000329114
2,47.6443,1.6047,2.2975,1.69871,0.41785,0.3226,0.27413,0.11461,2.00828,2.93049,2.22162,0.000655889,0.000655889,0.000655889
3,71.9238,1.61256,2.14429,1.69959,0.24337,0.50141,0.24636,0.10814,1.98395,3.01419,2.13432,0.000976064,0.000976064,0.000976064
4,95.5305,1.59955,2.05777,1.68832,0.49334,0.43005,0.35849,0.15887,1.95873,2.2082,2.1237,0.0009703,0.0009703,0.0009703
5,119.147,1.58683,1.96824,1.66913,0.55852,0.40689,0.39857,0.18363,1.92087,2.39105,2.16174,0.0009604,0.0009604,0.0009604
6,141.946,1.53548,1.83933,1.63637,0.65477,0.50689,0.53585,0.25607,1.77267,1.96196,1.9317,0.0009505,0.0009505,0.0009505
7,164.619,1.51464,1.80532,1.62391,0.56823,0.44468,0.45144,0.21094,1.83159,2.05174,1.95882,0.0009406,0.0009406,0.0009406
8,188.066,1.51548,1.74886,1.59164,0.53393,0.53747,0.52768,0.23819,1.83239,1.85912,1.95813,0.0009307,0.0009307,0.0009307
9,211.586,1.53658,1.73802,1.61606,0.53703,0.56419,0.58168,0.28921,1.68491,1.79279,1.78755,0.0009208,0.0009208,0.0009208
10,235.442,1.50263,1.67088,1.5755,0.56385,0.5653,0.59721,0.27745,1.72917,1.72862,1.84125,0.0009109,0.0009109,0.0009109
11,258.516,1.48886,1.68727,1.59211,0.69831,0.47077,0.53756,0.2687,1.7045,1.77469,1.87463,0.000901,0.000901,0.000901
12,281.179,1.49896,1.70416,1.61138,0.56229,0.54632,0.59918,0.2886,1.76316,1.79632,1.86592,0.0008911,0.0008911,0.0008911
13,304.738,1.4505,1.60794,1.559,0.63626,0.59967,0.63986,0.31463,1.65218,1.62046,1.80055,0.0008812,0.0008812,0.0008812
